epoch,train_acc,dev_acc
1,0.5660404624277456,0.5722477064220184
2,0.5893063583815029,0.6032110091743119
3,0.6046242774566474,0.6146788990825688
4,0.6124277456647399,0.6272935779816514
5,0.6158959537572254,0.6387614678899083
6,0.6206647398843931,0.6387614678899083
7,0.6225433526011561,0.6364678899082569
8,0.6286127167630058,0.6399082568807339
9,0.6336705202312138,0.6399082568807339
10,0.6408959537572254,0.643348623853211
11,0.6485549132947976,0.6467889908256881
12,0.6580924855491329,0.6559633027522935
13,0.6660404624277456,0.6571100917431193
14,0.6757225433526012,0.6697247706422018
15,0.6822254335260116,0.676605504587156
16,0.6890173410404624,0.6811926605504587
17,0.6969653179190751,0.6892201834862385
18,0.7005780346820809,0.6880733944954128
19,0.7060693641618497,0.6926605504587156
20,0.7117052023121387,0.7006880733944955
21,0.7161849710982658,0.7018348623853211
22,0.7219653179190751,0.7075688073394495
23,0.7297687861271677,0.7087155963302753
24,0.7384393063583815,0.7110091743119266
25,0.7495664739884393,0.7270642201834863
26,0.7595375722543353,0.7270642201834863
27,0.7661849710982659,0.7362385321100917
28,0.7663294797687862,0.7396788990825688
29,0.7608381502890174,0.7373853211009175
30,0.7598265895953757,0.7373853211009175
31,0.763150289017341,0.7259174311926605
32,0.7604046242774567,0.7259174311926605
33,0.7611271676300578,0.7270642201834863
34,0.759393063583815,0.7305045871559633
35,0.7606936416184971,0.7293577981651376
36,0.7634393063583815,0.7305045871559633
37,0.7700867052023121,0.7293577981651376
38,0.7761560693641618,0.731651376146789
39,0.7826589595375723,0.7396788990825688
40,0.7911849710982659,0.7431192660550459
41,0.7968208092485549,0.7511467889908257
42,0.8036127167630058,0.7545871559633027
43,0.8091040462427745,0.7557339449541285
44,0.8112716763005781,0.7580275229357798
45,0.8130057803468208,0.7580275229357798
46,0.8138728323699422,0.7603211009174312
47,0.8124277456647399,0.7534403669724771
48,0.8085260115606936,0.7488532110091743
49,0.805635838150289,0.7442660550458715
50,0.8014450867052023,0.7431192660550459
51,0.7984104046242775,0.7419724770642202
52,0.7959537572254335,0.7454128440366973
53,0.7960982658959538,0.7454128440366973
54,0.7959537572254335,0.7431192660550459
55,0.7959537572254335,0.7408256880733946
56,0.7965317919075144,0.7419724770642202
57,0.8008670520231214,0.7385321100917431
58,0.8052023121387283,0.7385321100917431
59,0.8109826589595376,0.7408256880733946
60,0.8141618497109827,0.7408256880733946
61,0.819364161849711,0.7408256880733946
62,0.8228323699421966,0.7408256880733946
63,0.826300578034682,0.7454128440366973
64,0.8322254335260115,0.7522935779816514
65,0.8342485549132947,0.7591743119266054
66,0.8398843930635839,0.7637614678899083
67,0.8404624277456647,0.7672018348623854
68,0.8426300578034682,0.768348623853211
69,0.8453757225433526,0.7717889908256881
70,0.8458092485549132,0.768348623853211
71,0.8473988439306358,0.7649082568807339
72,0.8476878612716763,0.7706422018348624
73,0.8495664739884393,0.768348623853211
74,0.8489884393063584,0.7717889908256881
75,0.8497109826589595,0.7752293577981652
76,0.85,0.7729357798165137
77,0.8514450867052024,0.7729357798165137
78,0.8515895953757225,0.7740825688073395
79,0.8517341040462427,0.7694954128440367
80,0.8515895953757225,0.7694954128440367
81,0.8526011560693642,0.7740825688073395
82,0.8536127167630058,0.7763761467889908
83,0.8536127167630058,0.7809633027522935
84,0.8554913294797688,0.7775229357798165
85,0.8570809248554914,0.7752293577981652
86,0.8589595375722543,0.7729357798165137
87,0.8602601156069364,0.7752293577981652
88,0.8606936416184972,0.7740825688073395
89,0.8630057803468208,0.7740825688073395
90,0.8643063583815029,0.7706422018348624
91,0.8657514450867052,0.768348623853211
92,0.8671965317919075,0.7660550458715596
93,0.8676300578034682,0.7626146788990825
94,0.8686416184971099,0.7591743119266054
95,0.8703757225433526,0.7626146788990825
96,0.869942196531792,0.7568807339449541
97,0.8696531791907515,0.7545871559633027
98,0.8708092485549133,0.7545871559633027
99,0.8719653179190752,0.75
100,0.8725433526011561,0.7488532110091743
